model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
INTERYACHTING 1OFF,,,SL,11350,,3600,2400,5500,2000,"TSL; 800. BSL; 1150. Max height of spin 13750 or jumpers required. Checkstay fitting optional. Chainplate lateral distance from mast, min 1200 for C193 section.",,,3800,,14050,,4800,,16930,,1630,,FR,KL,,2,,19,,C193,,B171,,S084,,,207,,7,,,8,5,,6,,,,8,,,,,,,,,1000,
MAXI 84 FURL,,,SL,,,,,,,TSL; 600. BSL; 800.,,,3450,,9600,,3200,,11050,,,,MH,DK,,2,,0,,F190,,B120,,S060,,,106,,6,,,6,6,,5,,,,6,,,,,4,,,,1050,
MAXI 84 F 19/20,,,SL,8400,,,,,,TSL; 600. BSL; 800.,,,3450,,9650,,3200,,11100,,,,FR,DK,,2,,0,,F190,,B120,,S060,,,105,,5,,,6,5,,4,,,,6,,,,,4,,,,1050,
MAXI 87 CONV,,,SL,,,,,,,SL; 900. Checkstays required in heavy conditions.,,,3400,,9880,,2750,,11010,,,,MH,DK,,1,,1,,C193,,B120,,S060,,,206,,6,,,6,6,,,,,,7,,6,,,,,,,880,
MAXI 909 F LUNDH,,,SL,,,,,,,"SL; 1100. Use 8"" handle for furlin gear.",,,3200,,11000,,3900,,12400,,,,FR,DK,,1,,27,,F194,,B143,,S060,,,106,,6,,,7,5,,,,,,7,,,,,,,,,1000,
MAXI 95 CONV,,,SL,,,,,,,SL; 850.,,,3330,,10600,,3400,,11830,,,,MH,DK,,1,,1,,C189,,B143,,S072,,,207,,7,,,8,7,,,,,,8,,7,,,,,,,980,
MAXI 95 F 2-SPR NMP,,,SL,,,,,,,TSL; 650. BSL; 900.,,,3330,,10600,,3400,,11980,,,,MH,DK,,2,,2,,F212,,B120,,S072,,,207,,7,,,7,7,,6,,,,7,,,,,5,,,,980,
MAXI 95 F FH=13000,,,SL,,,,,,,TSL; 700. BSL; 900.,,,3330,,11600,,3600,,13005,,,,MH,DK,,2,,2,,F212,,B120,,S072,,,207,,7,,,7,7,,6,,,,7,,,,,6,,,,1000,
MAXI 95 F FH=13500,,,SL,,,,,,,TSL; 700. BSL; 900. Optional NMP section: F212.,,,,,12100,,3600,,13500,,,,MH,DK,,2,,0,,F213,,B120,,,,,207,,7,,,7,7,,6,,,,8,,,,,6,,,,1000,
MAXI 999 CONV,,,SL,,,,,,,SL; 1100.,,,,,12000,,4250,,13350,,,,FR,DK,,1,,25,,C170,,B143,,,,,206,,6,,,7,4,,,,,,7,,,,,,,,,1100,
INTERYACHTING 1OFF,,,SL,8000,,2900,1900,2500,800,TSL; 900. BSL; 1250.,,,3600,,10500,,3600,,11250,,,,FR,DK,,2,,17,,C156,,B120,,S072,,,206,,6,,,6,5,,4,,,,6,,,,,,,,,500,
INT. FOLKBOAT,,,SL,,,,,,,SL; 750. Chainplate locations measured from drawing. D1A long chainplate location=300mm (selcalc limitation). This rig data sheet replaces old PD-sheet 810114. Specification should be made in accordance with class rules.,,,2550,,7860,,3400,,8810,,,,FR,DK,,1,,20,,C122,,B086,,S048,,,104,,4,,,5,3,,,,,,4,,,,,,,,,700,
KOOPMANS 47-272 C,,,SL,,,,,,,TSL; 100. BSL; 1450. Calculations based on clients RM. Cutterstay runners optional.,,,5600,,15850,,5600,,17200,,,,MH,DK,,2,,1,,C285,,B200,,S099,,,310,,10,,,10,10,,8,,,,10,,,,,10,,,,1100,
KOOPMANS 440-419 C,,,SL,,,,,,,TSL; 1000. BSL; 1350. P changed to match FH. Optional 45 deg forward diamonds at11300 L=700mm. Optional 3spr rig with C245 section.,,,6440,,15952,,5160,,17200,,,,MH,DK,,2,,1,,C285,,B171,,S111,,,310,,10,,,10,10,,8,,,,10,,,,,10,,,,998,
KLIPPER JETTA F,,,SL,12650,,3700,1500,12500,5100,TSL; 1100. BSL; 1600. P to be 12000. Double backstay: 7mm.,,,5000,,12045,,4800,,14300,,,,MH,DK,,2,,1,,F265,,B171,,S099,,,308,,8,,,10,8,,8,,12,,12,,10,,,,,,,1850,
KANTER 52 #157 C,,,SL,16050,,4445,1960,18932,6122,TSL; 1350. BSL; 1900. Carbon spin pole section 156/156. Cutterstay compulsory for longitudinal staying. V1 rig screw to be tuned when sailing.,,,8200,,16200,,7250,,17570,,,,MH,DK,,2,,31,,C304,,B250,,,,,412,,12,,,12,12,,10,,12,,12,,,,,,,,,1120,
KANTER 49 CONV,,,SL,14935,,4267,1982,17667,7203,TSL; 950. BSL; 1350. P changed to match FH. IF to be used as cutter stay. Double backstays 2 x 10mm,,,,,16211,,5883,,19770,,2247,,MH,KL,,2,,2,,C304,,B250,,,,,412,,12,,,12,12,,10,,12,,12,,10,,,,,,,1062,
M-50,,,SL,15200,,4320,2000,21250,9400,TSL; 1400. BSL; 1900. Lower cutterstay optional.,,,6840,,17020,,6470,,21700,,2430,,MH,KL,,2,,20,,C274,,B250,,S140,,,414,,14,,,12,14,,10,,14,,14,,10,,,,,,,1970,
MADALAINE,,,SL,8680,,2468,1520,7000,3000,TSL; 700. BSL; 1100. Outer forestay must not carry any sail. No masthead spinnaker allowed.,,,3650,,10750,,4640,,11770,,,,MH,DK,,2,,1,,C138,,B143,,S072,,,104,,4,,,5,3,,7,,7,,7,,7,,,,,,,750,
MADEIRA 44 MH 3SPR C,,,SL,13500,,4200,1900,14300,4600,TSL; 950. MSL; 1400. BSL; 1600.,,,5100,,16430,,5700,,18000,,,,MH,DK,,3,,17,,C224,,B200,,S099,,,412,,12,,,10,12,,"7, 8",,,,10,,,,,7,,,,1320,
MAESTRO 35 CONV,,,SL,10700,,3500,1800,5500,2100,TSL; 1000. BSL; 1400. Boom size could be 143/76 if S>3200mm,,,4000,,14500,,4500,,17800,,1850,,FR,KL,,2,,22,,C170,,B171,,S072,,,207,,7,,,6,5,,5,,,,6,,,,,,,,,1200,
MAESTRO 351 C FH=147,,,SL,,,,,,,TSL; 750. BSL; 900.,,,,,13257,,3700,,16557,,1850,,MH,KL,,2,,0,,C189,,B143,,,,,208,,8,,,7,8,,6,,,,8,,6,,,,,,,1200,
MAESTRO 38 C OCEAN,,,SL,11600,,3800,1800,8000,3000,TSL; 800. BSL; 1000.,,,4400,,14500,,4200,,18040,,1940,,MH,KL,,2,,8,,C206,,B171,,S096,,,308,,8,,,10,8,,7,,10,,10,,7,,,,,,,1350,
MAESTRO 38 C (TROMP),,,SL,11600,,3800,1800,8000,3000,TSL; 800. BSL; 1000.,,,4400,,13700,,4200,,17240,,1940,,MH,KL,,2,,7,,C206,,B171,,S096,,,310,,10,,,8,10,,7,,10,,10,,,,,,,,,1350,
MAESTRO 38 C (R.LOO),,,SL,11600,,3800,1800,8000,3000,TSL; 850. BSL; 1200.,,,4400,,14500,,4400,,18040,,1940,,MH,KL,,2,,0,,C206,,B171,,S096,,,308,,8,,,8,8,,7,,,,10,,7,,,,,,,1350,
MAESTRO 38 OCEAN FR,,,SL,11600,,3800,1800,8000,3000,TSL; 1000. BSL; 1500.,,,4200,,15000,,5200,,18790,,1940,,FR,KL,,2,,20,,C7,,B171,,S084,,,208,,8,,,8,7,,6,,,,8,,7,,,,,,,1350,
MAESTRO 40 CONV,,,SL,12100,,3700,2200,7000,2650,TSL; 1100. BSL; 1450. Optional 3 spr rig: C211. Optional cutterstay at 15000. Optional rodrig.,,,4600,,16150,,5300,,19600,,1970,,FR,KL,,2,,21,,C227,,B171,,S096,,,208,,8,,,8,7,,6,,,,8,,,,,,,,,1230,
MAMBA 33 CONV (LIND),,,SL,,,3270,1700,4000,1800,TSL; 800. BSL; 1100.,,,,,12250,,3950,,13600,,,,FR,DK,,2,,23,,C155,,B143,,,,,206,,6,,,7,4,,5,,,,7,,,,,,,,,1100,
MANI 32 GRANHED 2SPR,,,SL,9650,,3300,1750,2800,1200,TSL; 750. BSL; 1000. Runners & checkstay optional.,,,3600,,12000,,3900,,15050,,1775,,FR,KL,,2,,17,,C156,,B143,,S072,,,,,6,,,6,5,,5,,,,6,,,,,,,,,1025,
MANJOC CONV,,,SL,11130,,3440,1900,6020,2100,TSL; 700. BSL; 950. I/F stay added 1500,,,4245,,12600,,4400,,15940,,1830,,MH,KL,,2,,7,,C189,,B143,,S084,,,208,,8,,,8,8,,7,,8,,8,,6,,,,,,,1180,
MARIEHOLM 26 CONV,,,SL,8000,,2200,1240,2500,1400,SL; 800.,,,2800,,8800,,3380,,9750,,,,FR,DK,,1,,13,,C130,,B120,,S048,,,105,,5,,,6,4,,,,,,6,,,,,,,,,700,
MARIEHOLM 33 CONV,,,SL,10350,,3000,1480,4900,2000,"SP; 1000. Optional ""old"" mast section 189/132. Babystay required to balance the aft lowers.",,,3660,,11850,,4050,,13050,,,,FR,DK,,1,,4,,C227,,B143,,S072,,,206,,6,,,7,5,,,,,,7,,,,,6,,,,950,
MARIEHOLM 33 C 2SPR,,,SL,10350,,3000,1480,4900,2000,TSL; 750. BSL; 1000.,,,3660,,11850,,4050,,13050,,,,FR,DK,,2,,6,,C193,,B143,,S072,,,206,,6,,,6,6,,5,,,,6,,,,,6,,,,950,
MARIEHOLM 33 C GOTT.,,,SL,10000,,3000,1400,4900,2000,TSL; 700. BSL; 950. Inner forestay/checkstays compulsory.,,,,,11850,,4080,,13050,,,,FR,DK,,2,,7,,C193,,B143,,,,,207,,7,,,7,6,,5,,,,7,,6,,,,,,,950,
MARINA 85 FURL,,,SL,8750,,3000,1400,5000,800,SL; 1150.,,,3150,,8900,,3720,,10120,,,,FR,DK,,1,,2,,F176,,B120,,S060,,,106,,,,,,,,,,,,,,,,,,,,,820,
MARINER 31 MAIN C,,,KT,10668,,2972,1143,5216,2159,SL; 950.,,,3963,,9374,,3455,,10340,,,,MH,DK,,1,,2,,C177,,B143,,S072,,,207,,7,,,7,7,,,,7,,7,,,,,,,,,712,
MARINER 31 MIZZ C,,,SL,10668,,2972,1143,5216,2159,SL; 1200. O4mm Triatic stay replacing forestay. Forward hookbolts on headbox. C138 on client's request. Boom B120 on client request.,,,,,5790,,2845,,7310,,,,MH,DK,,1,,6,,C138,,B120,,,,,104,,4,,,4,5,,,,,,4,,,,,,,,,1270,
MARINER 36 FURL,,,SL,10970,,3510,1520,7710,2540,TSL; 750. BSL; 1050.,,,4535,,12098,,4054,,15908,,2362,,MH,KL,,2,,2,,F212,,B171,,S084,,,208,,8,,,,8,,7,,8,,8,,,,,,,,,1050,
MARKEN CONV,,,SL,9300,,2620,,5100,1900,SL; 1000.,,,4070,,10600,,4000,,11800,,,,MH,DK,,1,,4,,C177,,B143,,S072,,,207,,7,,,7,7,,,,7,,7,,,,,,,,,950,
MASCOT 33 FRAC F,,,SL,10000,,3400,1550,6000,2300,TSL; 750. BSL; 1000 R,,,4200,,12500,,4300,,14000,,,,FR,DK,,2,,0,,F213,,B143,,S072,,,207,,7,,,7,6,,5,,8,,8,,,,,,,,,1100,
MATCHRACER DS 37,,,SL,11200,,3200,2000,4080,2120,TSL; 650. BSL; 950.,,,4000,,13100,,4800,,16150,,1515,,FR,KL,,2,,16,,C193,,B171,,S072,,,207,,7,,,8,5,,6,,,,8,,,,,,,,,1335,
MATHIS 44 ONE OFF,,,SL,13550,,3850,2150,4600,2200,"TSL; 650. MSL; 900. BSL; 1000. Dyform rigging optional. Jumper o5mm. V1: o10mm. Others same as standard wire. Adjustable checkstay arrangement. Dyneema trim line fixed on checkstay, lead via cheekblock at 7600 and slots inside mast.",,,4037,,16500,,5750,,19079,,1395,,FR,KL,,3,,1,,C211,,B200,,S084,,,308,,8,,,10,5,,"6, 7",,,,10,,,,,,,6,,934,
MAXI 100 PS,,,SL,,,,,,,TSL; 700. BSL; 950.,,,4300,,12100,,4000,,13590,,,,FR,DK,,2,,2,,F213,,B143,,S072,,,207,,7,,,7,6,,5,,7,,7,,,,,,,,,1090,
MAXI 1000 CONV,,,SL,10200,,3250,1500,4000,1500,SL; 1100.,,,3600,,12000,,4250,,13350,,,,FR,FR,,1,,25,,C170,,B143,,S072,,,206,,6,,,7,5,,,,,,7,,,,,,,,,1100,
MAXI 1000 FURL,,,SL,10200,,3250,1500,4000,1500,SL; 1100 R.,,,,,12000,,4250,,13500,,,,FR,DK,,1,,24,,F213,,B143,,,,,206,,6,,,7,5,,,,,,7,,,,,,,,,1100,
MAXI 1050 KS CONV,,,SL,10400,,3250,1780,4600,1700,"TSL; 800. BSL; 1200. Checkstays optional. Taper optional Previous E-section was 155/104. Optional carbon section:CC174-36-00, no checkstay.",,,3600,,12600,,4400,,15792,,1842,,FR,KL,,2,,25,,C175,,B143,,S072,,,207,,7,,,7,5,,5,,,,7,,,,,,,,,1100,
MAXI 108 CONV,,,SL,10750,,3400,1750,6000,2500,TSL; 750. BSL; 1100.,,,4400,,12850,,4500,,16090,,1890,,MH,KL,,2,,1,,C227,,B143,,,,,208,,8,,,8,8,,6,,8,,8,,,,,,,,,1100,
MAXI 108 FURL,,,SL,10750,,3400,1750,6000,2500,TSL; 800. BSL; 1100.,,,4400,,12850,,4500,,16245,,1890,,MH,KL,,2,,1,,F212,,B143,,,,,208,,8,,,7,8,,6,,8,,8,,,,,,,,,1100,
MAXI 1100 CONV RM36,,,SL,11000,,3650,2000,5900,2300,TSL; 800. BSL; 1200. Cutterstay optional. Max spin halyard height: FH+750mm,,,4200,,14000,,4500,,17180,,1950,,FR,KL,,2,,21,,C211,,B171,,S084,,,208,,8,,,8,7,,6,,,,8,,,,,,,,,980,
MAXI 1200 CONV,,,SL,,,,,,,TSL; 950. BSL; 1200.,,,,,14380,,4800,,15930,,,,FR,DK,,2,,18,,C206,,B171,,,,,208,,8,,,10,6,,7,,,,10,,,,,,,,,1300,
MAXI 1200 FURL,,,SL,,,3640,1700,7000,3000,TSL; 950. BSL; 1200.,,,,,13170,,4800,,14970,,,,FR,DK,,2,,18,,F235,,B171,,,,,208,,8,,,10,7,,7,,,,10,,,,,,,,,1400,
MAXI 33 1SPR FURL,,,SL,,,,,,,SL; 1000.,,,,,10500,,4250,,12100,,,,FR,DK,,1,,24,,F213,,B143,,,,,206,,6,,,7,4,,,,,,7,,,,,,,,,1200,
MAXI 33 CONV INC. FH,,,SL,,,,,,,TSL; 750. BSL; 1050.,,,3600,,10500,,4250,,11950,,,,FR,DK,,2,,28,,C175,,B143,,S072,,,206,,6,,,7,5,,5,,,,7,,,,,,,,,1200,
MAXI 33 FURL PETTER.,,,SL,,,,,,,SL; 1200.,,,,,10500,,4250,,12100,,,,FR,DK,,1,,28,,F213,,B143,,,,,206,,6,,,7,5,,,,,,7,,,,,,,,,1200,
MAXI 77 CONV FH=9790,,,SL,,,,,,,SL; 1000.,,,3340,,8410,,2500,,9790,,,,MH,DK,,1,,28,,C138,,B086,,S060,,,105,,5,,,5,5,,,,,,5,,,,,,,,,915,
MAXI 77 SPEC. P9500,,,SL,7700,,2500,1450,2000,800,SL; 1050.,,,,,9500,,3350,,10590,,,,FR,DK,,1,,28,,C156,,B120,,,,,105,,5,,,5,4,,,,,,5,,,,,,,,,840,
MAXI 777,,,SL,,,,,,,SL; 900. Blackband to top of extrusion=150. Total mast length 10070.,,,3340,,9100,,3000,,10170,,,,FR,DK,,1,,27,,C130,,B086,,S048,,,105,,5,,,5,4,,,,,,5,,,,,,,,,820,
MAXI 80 MAGIC CONV,,,SL,,,,,,,SL; 850.,,,,,9750,,3150,,11150,,,,FR,DK,,1,,23,,C138,,B086,,,,,105,,5,,,5,4,,,,,,5,,,,,,,,,1150,
MAXI 80C MAGIC FURL,,,SL,,,,,,,SL; 850.,,,3100,,9550,,3150,,11100,,,,FR,DK,,1,,21,,F190,,B086,,S060,,,105,,5,,,5,3,,,,,,5,,,,,,,,,1150,
MB 850 2-SPR,,,12145,,,,,,,"TSL; 800. BSL; 1000. Optional Carbon mast CC154-30-00. Jumpers at 9556, 27 deg aft. Jumper shroud lower end to be linked to spreader.",,,2500,,10880,,4040,,12145,,,,FR,DK,,2,,27,,C156,,B143,,S048,,,106,,6,,,6,5,,4,,,,6,,,,,,,5,,1015,
MCINTYRE 50 CONV,,,SL,,,,,,,TSL; 1050. BSL; 1600. HMPE Runners.,,,5700,,17720,,6300,,20490,,1430,,MH,KL,,2,,17,,C274,,B250,,S111,,,,,12,,,12,12,,10,,,,12,,,,,10,,,,1060,
MEANS OF GRACE,,,SL,11270,,3040,1630,6270,1900,TSL; 900. BSL; 1300.,,,4610,,11130,,4780,,14305,,1630,,MH,KL,,2,,0,,F213,,B143,,S084,,,207,,7,,,6,7,,5,,7,,7,,,,,,,,,1160,
MERIDIAN 34 FURL,,,SL,10200,,3150,1900,3500,1300,TSL; 700. BSL; 900.,,,3400,,11920,,4200,,13270,,,,FR,DK,,2,,24,,F176,,B143,,S060,,,106,,6,,,6,5,,5,,,,7,,,,,,,,,950,
MG 34,,,SL,,,,,,,TSL; 600. BSL; 850 R,,,4000,,13103,,5090,,16067,,1620,,FR,KL,,2,,0,,C155,,B171,,S072,,,B-7,,7,,,7,4,,6,,,,8,,,,,,,,,1094,
MGR 34,,,SL,10240,,3520,1910,4064,1500,TSL; 600. BSL; 850. Reinforcement sleeve can be intergrated with join.,,,3400,,12760,,4070,,15706,,1576,,FR,KL,,2,,6,,C138,,B143,,S072,,,206,,6,,,7,4,,5,,,,7,,,,,,,,,1210,
MILLENIUM 38 CONV,,,SL,11110,,3690,1550,6000,2290,"TSL; 600. MSL; 800. BSL; 900. Main sheet sliders need to be seperated, 400mm",,,4150,,12750,,4570,,16080,,1960,,MH,KL,,3,,13,,C193,,B171,,S084,,,208,,8,,,8,8,,"6, 6",,,,8,,,,,6,,,,1120,
MILLENIUM 53 CONV,,,SL,16300,,4400,2700,11000,4400,TSL; 1100. MSL; 1600. BSL; 1850. Cutterstay compulsory in heavy conditions.,,,5900,,20570,,7220,,24120,,1950,,FR,KL,,3,,24,,C264,,B250,,S111,,,310,,10,,,10,10,,"6, 8",,,,10,,,,,,,,,1350,
MISIL 2,,,SL,,,,,,,SL; 700.,,,2800,,7890,,2900,,8840,,,,MH,DK,,1,,1,,C138,,B086,,S048,,,105,,5,,,5,5,,,,,,5,,,,,4,,,,700,
MISIL 2 SOUTHERN CRO,,,SL,,,,,,,SL; 700. FH chnaged to match with P+BH+TOP,,,,,8000,,2900,,9050,,,,MH,DK,,1,,1,,C138,,B086,,,,,105,,5,,,5,5,,,,,,5,,,,,4,,,,800,
MISTRAL 1SPR CONV,,,SL,,,,,,,SL; 1000.,,,,,11327,,3657,,12557,,,,MH,DK,,1,,0,,C189,,B143,,,,,207,,7,,,8,7,,,,8,,8,,,,,,,,,980,
MISTRAL 33 F H=12920,,,SL,,,,,,,TSL; 750. BSL; 1050.,,,,,11520,,3950,,12920,,,,MH,DK,,2,,0,,F213,,B143,,,,,B-8,,8,,,7,8,,6,,8,,8,,,,,,,,,1020,
MISTRAL C FH=12557,,,SL,,,,,,,TSL; 750. BSL; 1050.,,,,,11329,,3657,,12557,,,,MH,DK,,2,,0,,C177,,B143,,,,,B-8,,8,,,7,8,,7,,8,,8,,,,,,,,,978,
MISTRESS 32 C. FRAC,,,SL,,,,,,,SL; 1200.,,,,,11900,,3000,,14950,,1800,,FR,KL,,1,,27,,C155,,B120,,,,,206,,6,,,6,4,,,,,,6,,,,,,,,,1000,
MITARAO 258/99,,,SL,7600,,2870,1400,1350,500,TSL; 500. BSL; 700.,,,2650,,9940,,4000,,12460,,1490,,FR,KL,,2,,17,,C122,,B086,,S048,,,104,,4,,,4,3,,3,,,,5,,,,,,,,,780,
MODE 901 CONV,,,SL,9000,,2840,1980,2300,900,TSL; 650. BSL; 950 R,,,,,11900,,4280,,14495,,1580,,FR,KL,,2,,25,,C130,,B143,,,,,105,,5,,,6,3,,4,,,,6,,,,,,,,,765,
MOLICH 10 M,,,SL,12000,,2550,1600,3600,1750,SL; 900.,,,,,11500,,3400,,14000,,1500,,FR,KL,,1,,1,,C193,,B120,,,,,206,,6,,,7,5,,,,,,7,,,,,,,,,750,
MOLICH 12 MK 2,,,SL,14500,,3280,2000,7200,3400,TSL; 850. BSL; 1250.,,,4800,,16600,,5400,,19760,,1950,,FR,KL,,2,,6,,C245,,B171,,S096,,,208,,8,,,8,7,,6,,,,10,,,,,,,,,960,
MONARK 806,,,SL,8060,,2330,1450,1700,720,SL; 850. Tapered length =1700mm. S-measure to be confirmed by customer. Lower shroud backingplate to be mounted as high as possible (ca40mm below spreader bracket!!!) Boom section nott acc to class rule.,,,2750,,9000,,3000,,9820,,,,FR,DK,,1,,28,,C122,,B086,,S048,,,105,,5,,,5,5,,5,,,,5,,,,,,,,,620,
MONIQUE 34 F,,,SL,10400,,3360,1650,5800,2400,TSL; 800. BSL; 1100. P=13025 (black band),,,,,13105,,4200,,14680,,,,MH,DK,,2,,0,,F235,,B171,,,,,207,,7,,,7,7,,6,,7,,7,,,,,,,,,1190,
MONSUN 31 C ODMAN,,,SL,,,,,,,SL; 1100.,,,,,10250,,3500,,11410,,,,MH,DK,,1,,1,,C177,,B120,,,,,206,,6,,,6,6,,,,6,,6,,,,,,,,,910,
MONSUN 31 FURL,,,SL,,,,,,,SL; 1000.,,,,,9900,,3700,,11370,,,,MH,DK,,1,,0,,F213,,B120,,,,,B-6,,6,,,6,6,,,,6,,6,,,,,,,,,1070,
MONSUN 31 F LIWANG,,,SL,,,,,,,"SL; 1100. FH adjusted to match old FL. 7/16"" R-screws on customers requesdt. Use 8"" winch handle for furlin system.",,,,,9900,,3700,,11250,,,,MH,DK,,1,,1,,F213,,B120,,,,,206,,6,,,6,6,,,,7,,7,,,,,,,,,950,
MONSUN CONV HG,,,SL,,,,,,,SL; 1100. Increased stay dimensions on customers demand.,,,,,10000,,3500,,11290,,,,MH,DK,,1,,1,,C177,,B120,,S072,,,206,,6,,,7,6,,,,7,,7,,6,,,,,,,960,
MONSUN CONV,,,SL,,,,,,,SL; 1100.,,,,,10000,,3500,,11290,,,,MH,DK,,1,,0,,C177,,B120,,,,,206,,6,,,6,6,,,,6,,6,,,,,,,,,960,
MONSUNF FH=11600,,,SL,,,,,,,SL; 1100. D1A & D1F R-screw size at customers request.,,,,,10130,,3620,,11600,,,,MH,DK,,1,,0,,F213,,B120,,,,,206,,6,,,6,6,,,,6,,6,,,,,,,,,1070,
MOODY 31 CONV,,,SL,,,,,,,SL; 1020.,,,3810,,10210,,3505,,11417,,,,MH,DK,,1,,6,,C177,,B143,,S072,,,207,,7,,,7,7,,,,,,7,,,,,6,,,,920,
MOODY 33 1SPR F,,,SL,10058,,3100,1530,5500,1900,SL; 1100. P=9730 (max allowed mainsail luff length=9815),,,3700,,9815,,3900,,11200,,,,MH,DK,,1,,1,,F235,,B143,,S072,,,207,,7,,,7,7,,,,,,7,,,,,6,,,,1000,
MOODY 36 CONV,,,SL,10800,,3700,1520,8200,2400,SL; 1200.,,,,,11070,,4100,,12450,,,,MH,DK,,1,,0,,C224,,B143,,,,,308,,8,,,8,8,,,,,,8,,,,,7,,,,1130,
MOODY 376 CONV,,,SL,,,,,,,TSL; 900. BSL; 1300.,,,4572,,12600,,4343,,14130,,,,MH,DK,,2,,0,,C206,,B171,,S096,,,310,,10,,,10,10,,7,,,,10,,,,,8,,,,1200,
MOODY 376 FURL,,,SL,,,,,,,TSL; 950. BSL; 1300.,,,,,12600,,4343,,14200,,,,MH,DK,,2,,1,,F246,,B171,,,,,310,,10,,,10,10,,7,,,,10,,,,,8,,,,1200,
MOODY 40,,,SL,12300,,4040,1800,9525,3175,SL; 1300.,,,,,12240,,4419,,13551,,,,MH,DK,,1,,0,,C237,,B171,,,,,C-10,,10,,,10,10,,,,,,10,,,,,8,,,,991,
MOODY 40 C FH=146.,,,SL,11880,,4050,1870,8232,3955,"TSL; 900. BSL; 1300. E, S & SPL measures not confirmed, calculation not valid for boom or slin boom.",,,,,12650,,4200,,13551,,,,MH,DK,,2,,0,,C237,,B171,,S096,,,310,,10,,,10,10,,7,,,,10,,,,,7,,,,1700,
MOODY 425 FURL,,,SL,12800,,4070,1830,9900,3811,TSL; 1000. BSL; 1400. Cutterstay o10mm at customers request.,,,5029,,13900,,4724,,15500,,,,MH,DK,,2,,0,,F232,,B171,,S099,,,310,,10,,,10,10,,8,,10,,10,,10,,,,,,,1195,
MOODY 44 CONV,,,SL,,,,,,,TSL; 1100. BSL; 1600.,,,5081,,14420,,4776,,16243,,,,MH,DK,,2,,22,,C237,,B171,,S099,,,310,,10,,,10,10,,7,,10,,10,,8,,,,,,,1520,
MOODY 44 F ASTRAL,,,SL,13100,,4170,1500,10500,4000,TSL; 1050. BSL; 1500.,,,5080,,14535,,4950,,16460,,,,MH,DK,,2,,19,,F260,,B171,,S099,,,310,,10,,,10,10,,7,,10,,10,,8,,,,,,,1520,
MOODY 46 FURL H.G.,,,SL,,,,,,,TSL; 1100. BSL; 1500. Cutterstay/ runners optional.,,,5290,,15700,,5150,,19820,,2120,,MH,KL,,2,,15,,F286,,B200,,S099,,,412,,12,,,10,12,,8,,12,,12,,10,,,,,,,1500,
MOODY 47 FURL (05),,,SL,14325,,4450,1905,12475,4990,TSL; 1050. BSL; 1450. Inner forestay/checkstay optional. Not to be used for cutter sail.,,,5490,,15050,,5190,,19215,,2300,,MH,KL,,2,,18,,F286,,B200,,S099,,,412,,12,,,10,12,,8,,10,,10,,7,,,,,,,1365,
MOODY 471 FURL,,,SL,,,,,,,TSL; 900. BSL; 1300. Cutterstay optional.,,,5500,,16000,,5200,,17910,,,,MH,DK,,2,,1,,F290,,B200,,S111,,,412,,12,,,12,12,,10,,12,,12,,,,,10,,,,1400,
MOODY 49 CONV,,,SL,14630,,4420,1990,15700,5000,"TSL; 950. MSL; 1400. BSL; 1600. Double backstay o10mm. T131 spreaders. Optional forward diamonds to support cutterstay: P95 spreaders, 45 deg fwd, L=800mm, o8mm wire. Lower attchment at 5700, upper attchment at 17000. BSI chainplate tipcup arrangement, 3/4"" R-screw with bronze body accepted./2005-02-01 PEW",,,5445,,16210,,5850,,20277,,2132,,MH,KL,,3,,19,,C264,,B200,,S111,,,412,,12,,,10,12,,"8, 8",,,,12,,,,,,,,,1685,
MOODY 49 FURL,,,SL,14630,,4420,1990,17127,5000,"TSL; 950. MSL; 1400. BSL; 1600. Double backstay o10mm. Optional: bridle with 2xo8 (1x19wire), R-screw 1/2"". V45 spreaders.Optional forward diamonds to support cutterstay: P95 spreaders, 45 deg fwd, L=800mm, o8mm wire. Lower attchment at 5700, upper attchment at 17000.",,,5445,,16090,,5850,,20403,,2132,,MH,KL,,3,,19,,C264,,B200,,S111,,,412,,12,,,10,12,,"8, 8",,,,12,,,,,10,,,,1685,
